Rank;NOME
1;ERRIGO ARIANNA
2;FAVARETTO MARTINA
3;VOLPI ALICE
4;BATINI MARTINA
5;PALUMBO FRANCESCA
6;MANCINI CAMILLA
7;TANGHERLINI ELENA
8;MONACO BEATRICE
9;SINIGALIA MARTINA
10;GRANDIS AURORA
11;CRISTINO ANNA
12;CIPRESSA ERICA
13;BERTINI IRENE
14;CALISSI OLGA RACHELE
15;ROSSINI SERENA
16;BIANCHIN ELISABETTA
17;PANTANETTI BENEDETTA
18;FERRARI CARLOTTA
19;MOLINARI MATILDE
20;NAYL EMMIE CELESTINE
21;CALVANESE MATILDE
22;CIAMPALINI VITTORIA
23;COLLINI GRETA
24;ROTELLA CLAUDIA
25;LORENZI MARGHERITA TITINA
26;PUGLIA SERENA
27;AMORE GIULIA
28;RICCI MARTA
29;PINNA VITTORIA
30;FRANZONI LUDOVICA
31;BERRETTA MARIAVITTORIA ELVIRA
32;MEMOLI CLAUDIA
33;GIORDANI SOFIA
34;TAVOLA ALESSANDRA
35;CANTARINI LUCREZIA
36;CAMMILLETTI MARTA
37;DI RUSSO GUIA
38;CANDEAGO ELEONORA
39;GENOVESE LUDOVICA
40;GABOLA LETIZIA JOLE MAIDE
41;RIVA VITTORIA
42;TSURKIS ANASTASIIA
43;POMPILIO GRETA
44;RAGGIO SOFIA
45;LAZZERI MARTINA
46;BIASCO KAREN
47;NEMCOVÀ STEPANKA ANNA
48;FATTORI MARIA ELISA
49;CAPODICASA NICOLE
50;PENSA LARISSA FRANCESCA CHIARA
51;GUERRAZZI LUCREZIA
52;TERNI LUDMILA
53;CAMPBELL YASMIN
54;DONATELLI TERESA
55;PAPPONE ARIANNA
56;GAMBITTA ALICE
57;PIANEZZOLA MADDALENA
58;PIANELLA GIADA
59;STAINO ALISON
60;PICCHI ELENA
61;BIBITE BEATRICE PIA MARIA
62;SAIONI GRETA
63;CANESSA LUCREZIA
64;BERNO ELEONORA
65;PRITELLI VERONICA
66;COLOMBO ELISA
67;ARSIÈ ANNA
68;RUTA GIORGIA
69;TAMBONE SOFIA
70;BINAGHI MARIAVITTORIA
71;SOLA ARIANNA
72;PIETRARELLI ALICE
73;MUSCO BEATRICE
74;SPAZZI GIORGIA
75;PICCINI SOFIA
76;BARDES SOPHIE
77;TAKAISHVILI LIZA
78;NENCINI INES
