Rank;NOME
1;MARINI TOMMASO
2;FOCONI ALESSIO
3;BIANCHI GUILLAUME
4;MACCHI FILIPPO
5;FILIPPI DAVIDE
6;ROSATELLI DAMIANO
7;INGARGIOLA FRANCESCO
8;LOMBARDI GIULIO
9;LUPERI EDOARDO
10;PISTORIO FEDERICO
11;DI TOMMASO ALESSIO
12;MARTINI TOMMASO
13;DI VEROLI DAMIANO
14;FRANZONI GIUSEPPE
15;IANDOLO FRANCESCO PIO
16;PANAZZOLO MATTEO
17;ADOUL RAIAN
18;GAROZZO DANIELE
19;DE CRISTOFARO MATTIA
20;NISTA LORENZO
21;PROIETTI MARCO
22;GREGANTI FEDERICO
23;LLAVADOR FERNANDEZ CARLOS
24;USICCO LEONARDO
25;VELLUTI PIETRO
26;CHIAPPELLI TOMMASO
27;PANAZZOLO MARCO
28;AVOLA GIORGIO
29;CERCACI FRANCESCO
30;NAPOLITANO ISAIA
31;STELLA ALESSANDRO
32;AMARAL TOLDO GUILHERME
33;PIERALISI LEONARDO
34;ISOLANI GREGORIO
35;FAORO TOMMASO
36;GRISERI FRANCESCO
37;PIANTINI NICCOLO'
38;COLL GARI MATEU
39;CONTICINI MATTIA
40;VANNUCCI FRANCESCO
41;GRIDELLI GIANMARCO
42;IAQUINTA EMANUELE
43;CIANI JOEL
44;MANENTE MATTEO
45;APRILE LEONARDO
46;CIABATTI FRANCESCO
47;DI RUSSO MANFREDI
48;GUIDOTTI ANDREA
49;PASIN ELIA
50;MBAYE DJIBRIL
51;PARADISO STEFANO
52;ANTONINI GIAN MARIA
53;COMO LUCA
54;MORINI MATTEO
55;ERMAN VINCENZO
56;BONATO JACOPO
57;ZANARDO ANDREA
58;PALMERINI RICCARDO
59;SCALORA FERNANDO
60;PUPILLI MATTEO
61;BALDASSO ALBERTO
62;DONI ROCCO
63;NIGOSANTI ANDREA
64;COLLINI NICOLO'
65;DEL TORTO JACOPO
66;LAURIA ENRICO GIOVANNI
67;RAFFAELI PIETRO
68;PAGLIARO LORENZO
69;IACOMONI MATTEO
70;LORENZON TOMMASO
71;SANTARELLI SIMONE
72;PASQUALETTO TOMMASO
73;PIZZUTILO TOMMASO
74;POGGIO JACOPO
75;SCARASCIA MUGNOZZA GIANCARLO
76;LAURIA LORENZ
77;QUAGLIETTI MATTEO
78;GAI ANTONIO ROMAN
79;CALABRÒ LORENZO
80;SPOSATO FEDERICO ALBERTO
81;GUERRA FILIPPO
82;FIORE FRANCESCO GIOVANNI PAOLO
83;FALLICA CARMELO
84;CUPO GIUSEPPE PAOLO
85;RENCRICCA FRANCESCO
86;ROSSITTO SALVATORE
87;ARCHILEI TOMMASO
88;REA LEONARDO ROCCO
89;D'ALESSIO FILIPPO
90;SARDELLI ELIA
91;VILLA GABRIELE
92;PELLIS MARCO
93;SCASSINI TOMMASO
94;GRAJALES MENA MIGUEL ANGEL
95;MINOTT KAMAL
96;TROIANI MATTEO
97;MARTINI NICCOLO'
98;LEMMI EDOARDO
99;SPAMPINATO FRANCESCO
100;SORA LORENZO
101;CITARELLA SIMONE
102;ZECHINI FRANCESCO
103;RESEGOTTI MATTEO CLAUDIO
104;GAMPER LUCA
105;LANDI GIOVANNI
106;CECCOLINI LUCA
107;CORSINI PIETRO
108;NITTI AKASH
109;CHIARAMONTI ANDREA
110;BERARDI EMANUELE
111;BARCIO FRANCESCO
112;MARINO IAN
113;DI RUSSO FABIO
114;ROSSI NICOLO'
115;MUNAROLO DAVIDE
116;MILANO ALEXANDER
117;ROSSI MARCO
118;BIANCHINI TOMMASO
119;ROVERE CARLO LUIGI
120;DI MARTINO GIUSEPPE
121;CAZZANI ROBERTO MATHIAS
122;SETTEFONTI GIOVANNI
123;RICHIARDI CARLO
124;VALTRIANI MATTEO
125;BOSSINI ALESSANDRO
126;BORSOI ZENO
127;MARIOTTO ALBERTO
128;TASSINARI RICCARDO
129;RIBAUDO LUCA
130;GAGGIOTTI CESARE
131;GIACCHETTA MARCO
132;MURILLO DIAZ JORGE EDUARDO
133;AIELLO TOMMASO
134;CORONATI EDOARDO
135;MORDINI LUCA
136;TAMBURINI JACOPO
137;OSPINA LADRON DE GUEVARA DAVID
138;GENOVESE ADRIANO
139;ROCCHI SEBASTIANO
140;SIDOTI FRANCESCO
141;BERTOSSI MARCO
142;DE MICHIELI VITTURI FEDERICO
143;BIONDI ALESSANDRO
144;GIACCHETTI JETMIR
145;GIANESE MATTIA
146;FUSCO CRISTIANO
147;TEDESCO MATTIA
148;PESCE FILIPPO
149;ROVARIS TOMMASO
150;GIORDANO THOMAS
151;DEL MEDICO LORENZO
152;ADDATO MAURO
153;GAMBITTA LEONARDO
154;BUONOCORE ANDREA
155;APRILE EDOARDO
156;RIZZI MARCO
157;PESCE ANTONIO GUIDO
158;LAZZARINI TOMMASO
159;MALVEZZI LORENZO
160;PORRAS PEREZ CRISTIAN JOSE
161;VARGAS ESCOBAR TOMAS
162;CIABATTI TOMMASO
