Rank;NOME
1;BATTISTON MICHELA
2;CRISCIO MARTINA
3;MORMILE CHIARA
4;GREGORIO ROSSELLA
5;DI CARLO ALESSIA
6;PASSARO ELOISA
7;GARGANO REBECCA
8;VECCHI IRENE
9;SPICA MANUELA
10;ROTILI CLAUDIA
11;LANDI MICHELA
12;CIARAGLIA SOFIA
13;POLLI MARIA CLEMENTINA
14;BALDINI BENEDETTA
15;NICOLAI ALESSANDRA
16;VIALE MARIELLA
17;ARPINO GIULIA
18;BORRELLI ELISABETTA
19;CARAFA GAIA KAROLA
20;LUCARINI LUCIA
21;ASTOLFI FLAVIA
22;FUSETTI BENEDETTA
23;MANTEGNA SIRIA
24;PREARO FLAMINIA
24;MOCCI VITTORIA
26;ALBIERI SOFIA
26;RESCINITI CHIARA
28;GIOVANNELLI VALLY
29;LIKAJ GIADA
30;GIANCOLA MARTINA
31;STANGONI BENEDETTA
32;GALETTI GIADA
33;D'ORAZI FRANCESCA
34;FONDI VALERIA
35;FUSETTI VITTORIA
36;FUSETTI CARLOTTA
37;CATTANEO VALENTINA
38;MARTINELLI SOFIA
39;MAZZANTI CECILIA
39;GIORDANI MARGHERITA
41;COLONNA MARGHERITA
42;GIOVANNELLI AMELIA
43;SCHINA CAMILLA
44;PICCOLI ALESSIA
45;TESTASECCA GINEVRA
46;BLANDINO ARIANNA
47;CALVIATI ILARIA
48;GRASSI ELISA
49;FUSETTI DILETTA
50;BURLI FRANCESCA
51;VIGLINO AMALIA
52;GULLO SOFIA
53;ANDALORO DILETTA
54;MINONZIO ELENA SILVIA
55;COTOLONI MARTINA
56;ZUCCHELLI GAIA
57;FUSCO MARIA
58;SIMONELLI GIULIA
59;TOMASELLI FRANCESCA
60;SARACAJ RACHELE
61;COLELLA ELEONORA
62;RODRIGUEZ SANTAMARIA MARIA JOSE
63;PORZIO FRANCESCA
64;RADOI LIDIA
65;CASTELLACCI FLAVIA
66;SPLENDORE MAYA
67;BALSANO VITTORIA
68;PECORELLA GIORGIA
69;RIZZELLO CAMILLA
70;POZZI ZOE
71;LENTINI FRANCESCA ROMANA
72;BILOTTI ROSA CATERINA
73;CARNEVALE LUDOVICA
74;VARRICCHIO GIULIA
75;ANTONIELLO VITTORIA
76;DI MAURO MARTINA
77;GRIMALDI GIULIA
78;BUCCIFERRI LUDOVICA
79;GERLI NOEMI LOLA
80;BALDO ZOE MARIE
81;CANTATORE ARIANNA
82;CARELLA GAIA PIA
83;STEFANELLO LUCIA
84;MANZO MORENA
85;ZUCCHELLI MARTA
86;MORENETS KUBANSKA VALERIA
87;MARGUCCIO ALICE
88;TERENZI LUCIA
89;PENDENZA SARA
90;COLAIACOMO DANIELA
91;DI BENEDETTO CHIARA MARIANNUNZIATINA
92;AMODIO BENEDETTA
93;STRATI AZZURRA
94;CHIGNOLI GIULIA
95;BOCCARDO MATILDE CARLA
96;BELLUCCI ARIANNA
97;EMMA ARIANNA
98;EMMA CATERINA
99;MARZIALI ANGELICA
100;PUGNO CHIARA
101;CALDERINI MARTINA
102;PROCOVANU ELISE
103;TOMASELLI NADIA
104;DEL MONACO ELISABETTA
105;SCARSELLI CATERINA
106;BIGAGLI GINEVRA
107;QUAGLIOZZI GIULIA
108;PETRUZZIELLO FRANCESCA
109;COLARIETI SOFIA
110;CARDELLINO ROBERTA
111;VOLPE FLAVIA
112;SARNATARO SAMUELA
113;BARTOLINI GIULIA
114;BIROLO GINEVRA
115;BONIFICO GINEVRA
116;FRANCO ARIANNA
117;GUICCIARDI SOFIA
118;VALSECCHI ELIDE VITTORIA
119;JAHIER LETIZIA
120;FIGLIOLI SOFIA ANNA PIA
121;LISICHNIKOVA AGATA
122;PERUGINI BEATRICE
123;DAVOLI GLORIA
124;DI GREGORIO SARA
125;RIVA ARIANNA
126;METAURO SOFIA
127;BORZACCHIELLO TERESA
128;ROSSETTI LUDOVICA
129;FERRI GRETA
130;CANTINI MIA
131;LUCIN ILARIA
132;CANEVARI FRANCESCA
133;OTTAVIANO EUGENIA CLAUDIA
134;FIMIANI CAMILLA
135;FIGLIOLI AIDA PIA
136;DI BATTISTA MARIA LIANA
137;SEGHIZZI SARA
138;AVARO ELISA
139;CIOLA MARTINA
140;ILARI ARIANNA
141;GRATTAROLA ANNA
142;ZORZATO CATERINA
143;LANARO BIANCA
144;DORIO GRETA
145;GUZZI SUSINI FEDERICA
146;VOGNA CHIARA
147;GARGIULO GIULIA
148;STROPPA SOFIA PIA
149;BASCARAN AMALIA
150;GEROLDI MARIAPIA
151;BERNARDINI GUENDALINA
152;CALÒ ILARIA
153;ZAFFINA ROSSELLA
154;PERILLO GLORIA
155;ABOUTALEB MERIAM
156;DE ANDRES GARRIDO SOFIA
157;BARBERO GIADA
158;TARTARI REBECCA
159;PICCIONI CHIARA
160;PARISI CARLOTTA
161;FIORILLO CLAUDIA
162;STIRPE FRANCESCA
163;DEL GIUDICE LORENZA
164;SICILIANO MARIA TERESA
165;CATANZARO ARIANNA RITA
166;RENDA MARTINA
167;MORETTI BARBARA
168;PANELLA GINEVRA
169;TETI BIANCA
170;CROSTA MATILDE LEA
171;MARTIRE GIULIA ISABELLA
172;CIUFFREDA NOEMI RITA
173;CAPPA FRANCESCA
174;MINUTI BEATRICE
175;BENZONI GAIA
176;GUERRAZZI LUCREZIA
177;POZZI FEDERICA
178;DI IURI VANESSA
179;PAGLIALUNGA GIORGIA
180;PORTALURI LAURA
181;MAUGERI ILARIA
182;BACCIARINI LILIANA
183;FURCHI' FLAVIA
184;ROSSI MARIA VITTORIA
185;ALAIA SOFIA CHIARA
186;TRIGILIA LOREDANA
187;PASQUINO ROSSANA
188;GRANDIS KIM SOPHIA
189;PERILLO VIOLA
190;PIROZZOLO ASIA
191;LUPO VITTORIA
192;SYLOS LABINI ELETTRA
193;RAMPINI SARA
193;CHIANESE GIULIA
195;BRUNATI SOFIA
196;DAVIDE MIRIAM
197;ILARI CAMILLA
198;LONGHI GAIA BEATRICE
199;RAMELLA PAIRIN ALESSANDRA
200;SCUDIERI GIADA
201;MARKOWSKA JULIA ANNA
202;TAMOSIUNAITE GRETA
203;MARTEL LILA
204;GUIDO BENEDETTA
205;SAVONA MARINA
206;SCHIAVONE CHIARA
207;ROSCIANO VITTORIA
208;LO MUZIO GABRIELLA
209;TERZANI GIULIA
210;ASQUINI ALESSANDRA
211;FRANCHI CATERINA
212;ANNICCHIARICO ROBERTA
213;MARCIANTE COSTANZA
213;TRIPODI FLAVIA
213;FRIGO BEATRICE
216;PESANDO TANIA
217;SCARAMUZZINO ANH THO
218;DONDI MATILDE
218;ZANGLA SOFIA
220;MARCHESI ELENA
220;CATALANO CLARISSA
222;SPATARO CHIARA
223;LUPINETTI CATIUSCHA
223;BYCZKOWSKA OLIWIA ANITA
225;ALIIEVA AMINA
225;TONA LISA
227;TERZANI SARA
227;LEAL LEAL ANA KARINA
229;TURCEAC ISABELA MARIA
230;CUORPO SORAYA
231;TERLIZZI SIMONA
232;RIBOLDI UMBERTA EMANUELA
233;DINCKAN KERIMAN NUR
234;KATZURIN NAIDE
234;RENDA ALICE
236;FILLORAMO LUDOVICA
237;CERQUAGLIA VITTORIA
238;ALBERTELLI FRANCESCA
239;VALENTINI CECILIA
240;SAMMARONE ANITA
241;FELICIONI MARTA
242;CESETTI GIULIA
243;GAUDIO GIADA
243;MASINI ARIANNA
245;FULLI GIULIA
246;PILATO GIULIA TERESA
247;VOLPE NICOLETTA
248;ROTA CLAUDIA
249;FRASSANITO IRENE
250;TALLARITA FABIANA
251;BARTOLACCI MANUELA
252;GRANDI SARA
