Rank;NOME
1;CURATOLI LUCA
2;GALLO MICHELE
3;SAMELE LUIGI
4;NUCCIO RICCARDO
5;CAVALIERE DARIO
6;TORRE PIETRO
7;MASTRULLO MARCO
8;REA MATTIA
9;REPETTI GIOVANNI
10;MIGNUZZI GIACOMO
11;BERRÈ ENRICO
12;BONSANTO FRANCESCO
13;FRANCIOSA DANIELE
14;OTTAVIANI LORENZO
15;REALE EDOARDO
16;DREOSSI LEONARDO
17;NERI MATTEO
18;TALLARICO ANTONIO
19;VECCIA SCAVALLI LUPO GIORGIO GIOVANNI
20;MARCIANO GIORGIO
21;D'ARMIENTO FRANCESCO
22;SBRAGIA STEFANO
23;CANTINI EDOARDO
24;DE ROBBIO FRANCESCO
25;TOCCI LEONARDO
26;ARPINO ALBERTO
27;BARIONOVI ROBERTO
28;REALE LEONARDO
29;PAGANO FRANCESCO
30;LAZZARO SALVATORE
31;COLAUTTI CHRISTIAN
32;PANCONI NICCOLO'
33;SIBILLO MASSIMO
34;NARDELLA EMANUELE
35;CICCHETTI DAVIDE
36;BERTINI COSIMO
37;ARUTA ANTONIO
38;STIGLIANO MARCO
39;TESTA GIOSUE'
40;CUCCIOLETTA FEDERICO
41;MANNUCCI DAVIDE
42;BERTOLA PIETRO TUDJAN
43;PICCHI FILIPPO
44;DIQUATTRO STEFANO
45;COLTORTI MARIO
46;GUARDALÀ ANDREA
47;PISERCHIA ARNALDO
48;PERNA GIUSEPPE
48;SCARPATO JIMENEZ EZEQUIEL
50;DENTATO MANUEL
51;MARCIANTE GIUSEPPE
52;CASTRUCCI COTICHINI ETTORE
53;VIVALDI DAVIDE
54;SCEPI STEFANO
55;SIANO MATTIA
56;SARCINELLA FRANCESCO
57;MIGNUCCI ANDREA
58;OTTAVIANI MATTEO
59;PICCININI ARYAN
60;VETTURI GABRIELE
61;MURTAS CHRISTIAN
62;MORONE MARCO ELIO
63;ARTUSO ANDREA
64;CECCHINELLI GABRIELE
65;CALVIATI GIUSEPPE
66;BENIGNI RICCARDO
67;PERUGINI ALESSANDRO
68;RUTIGLIANO MARCO
69;PUCCI LAPO JACOPO
70;TRIBUNO ANDREA
71;RAGGI NICOLA
72;BARLOCCI ANDREA
73;VANNIEUWENBORGH GIJS
74;REALE VALERIO
75;SIMIONATO FILIPPO
76;VISCARDI LORENZO
77;NIGRI ALBERTO
78;TOMASSETTI ALESSANDRO
79;SIMIONATO LORENZO
80;AVALTRONI CHRISTIAN
81;CASAVECCHIA MATTEO
82;DI MATTEO GIANPAOLO
83;HIRSCH BUTTE' PIETRO
84;ROUSSIER-FUSCO ANDREA
85;PUGLIESE SALVATORE
86;CONVERSI ALESSANDRO
87;ZEA ARMENTA GIBRAN
88;LATHAM UMANA GASPAR
89;PALUMBO GIORGIO MICHELE
90;TOMASSETTI TIZIANO
91;TALLARICO TOMMASO
92;MERLO TOMMASO
93;STIRPE DANIELE
94;ARPAIA LEANDRO
95;ALBINO FRANCESCO
96;TELETIN CRISTIAN
97;MARCELLI SAMUEL
98;MARIGO ANDREA
99;BLASI GABRIELE JACOPO
100;PASQUALINO MATTIA
101;BUENZA CIRO
102;MASTROLITTO PIETRO GIANNI
103;VESPIGNANI TOMMASO
104;IMBASTARI JACOPO
105;MAESTRI RICCARDO
106;MARCHINI PIETRO NICODEMO
107;MICCIO GIANMARCO
108;DI GIANVITO PIETRO
109;MANZO EMANUEL
110;CHIARENZA DIEGO
111;BARSANTI ALBERTO
112;CALÒ FILIPPO
113;ZINI ROBERTO
114;LIBERATO SALVATORE
115;AGOUDA AMAL SHARUK
116;CANESTRELLI TOMMASO
117;DRAGONETTI GIUSEPPE
118;MADONNA LORENZO
119;DE MEO NICOLA
120;DI PROSPERO LORENZO
121;CICCONE ANTONIO
122;AQUILI RICCARDO MARIA
123;GIARNERA SIMONE
124;GOISIS MATTEO LUIGI
125;TOMASSETTI LORENZO
126;SALZANO ANTONIO
127;CARINCI FRANCESCO
128;ZANELLATO LORENZO
129;LEONI NICOLO'
130;CUTRUPI ANDREA
131;GNECH GIACOMO
132;VERDOLIVA VITTORIO
133;PUGLIESE SALVATORE
134;SPLENDORE DAVIDE
135;TIROTTI TOMMASO
136;FELICI GIACOMO
137;DE ROSA GUIDO
138;CAPO LEONARDO
139;FATTORI ALESSANDRO
140;BODRIA FRANCESCO
141;TARONI ALESSANDRO
142;BILOTTO SIMONE
143;GAY PAOLO
144;MIUCCI MATTEO
145;PAPPALARDO MATTIA
146;ZAMBRELLI PIETRO
147;DEVOS JURRE
148;BOFFANO ENRICO
149;ARRU MARCO
150;BETTI EDOARDO
