Rank;NOME
1;SANTUCCIO ALBERTA
2;FIAMINGO ROSSELLA
3;RIZZI GIULIA
4;NAVARRIA MARA
5;PAULIS LUCREZIA
6;ISOLA FEDERICA
7;BOZZA ALESSANDRA
8;MARZANI ROBERTA
9;TRADITI GAIA
10;CLERICI ALICE
11;KOWALCZYK SARA MARIA
12;CAFORIO GAIA
13;CRISTOFOLETTO ALLEGRA
14;FERRARI MARTA
15;CAGNIN BEATRICE
16;MACCAGNO CAROLA
17;SILETTI VITTORIA
18;CASALE MARIA ROBERTA
19;PERINI VERA
20;ROSSATTI EMILIA
21;DE MARCHI ELEONORA
22;ORSO ELEONORA
23;FOIETTA NICOL
24;FERRACUTI ELENA
25;TESTA MARIACHIARA
26;CORRADINO ANITA
27;MORCIANO MIRIANA
28;PIZZINI ALESSIA
29;MADRIGNANI BENEDETTA
30;PIATTI SABRINA
31;MARTINI MARGHERITA
32;MUKOID YULIIA
33;GINEX ELEONORA
34;CAPOCCIA BARBARA
35;SICA SUSAN MARIA
36;BILLI SARA
37;PANZERA ISABELLA
38;PAULIS GIULIA
39;FORASTIERI CECILIA
40;BALDASSA GIULIA
41;CENA MARZIA
42;ZOGNO FEDERICA
43;ROSSI ELEONORA
44;CORNALBA CARLOTTA
45;FAVA BEATRICE
46;TOGNETTI AURORA
47;ROMEO VIRGINIA
48;MICHELI ELENA
49;VITALI ASIA
50;ACCARDI CLAUDIA
51;DELLA CIOPPA SARA
52;CASAMENTI ALICE
53;DEL MASTIO PRISCILLA
54;ISIDORI SILVIA
55;SCIARRA DALILA
56;BUSNELLI MATILDE
57;COSTANTINI LUDOVICA
58;BARBIERI MATILDE
59;PIEROPAN BEATRICE
60;INCORVAIA GIADA
61;BELLINI MATILDE
62;DRAG SOFIA
63;CHWOJNIK TAMARA
64;CARPEGNA SARA
65;DE PICCOLI CHIARA
66;CRISTINA AURORA MARIA
67;CIMINI CHIARA
68;QUIRINI SOFIA
69;BILLI SOFIA
70;BIASI ELENA
71;SPINELLI ALICE ILDE
72;ROMANO ALESSANDRA
73;PARMESANI FRANCESCA
74;FANTINI FRANCESCA
75;LIBERATI SILVIA
76;FINIZIO IDA
77;LAMBERTINI ALICE
78;DI MARTINO LUDOVICA
79;AUTERI CATERINA
80;GAMBARDELLA ROBERTA
81;GENTILE FRANCESCA
82;PANZERA CHIARA
83;VOLPI ASIA
84;CIACCA CAMILLA
85;CAMPAGNA FEDERICA
86;CATTANEO FRANCESCA
87;MAZZUCCO SOFIA
88;SIGNANI ISABELLA
89;PENNISI ELENA MARIA
90;OGGIONI ANNA
91;SPAZZOLI FRANCESCA
92;CAPODAGLIO SABRINA
93;PICHLER LISA
94;MAGNI BIANCA
95;CALVANESE ALESSANDRA
96;TOGNETTI FRANCESCA
97;DALIA SVEVA
98;BERTINETTI DIANA
99;WELLS TESLA
100;FUCCARO ISABELLA
101;MARTEWICZ KALINA MAGDALENA
102;CASSANO ALICE
103;GALLINA GIORDANA
104;VIGORITO IRENE
105;LANGELLOTTI CARLA
106;PIERACCIANI ALICE
107;TORRISI SOFIA
108;PINTUCCI SARA
109;DE ALTI SARA
110;MONTECCHIA LUDOVICA
111;AYRES BEATRICE
