Rank;NOME
1;DI VEROLI DAVIDE
2;PIATTI ENRICO
3;VISMARA FEDERICO
4;ARMALEO FILIPPO
5;CUOMO VALERIO
6;GAETANI GIULIO
7;BUZZACCHINO GIANPAOLO
8;TAGLIARIOL MATTEO
9;DILIBERTO LUCA
10;GALASSI MATTEO
11;SANTARELLI ANDREA
12;PAOLINI GIACOMO
13;CIMINI GABRIELE
14;MASTROMARINO FABIO
15;RIZZI JACOPO
16;DEGUCHI NICOLAS
17;FICHERA MARCO
18;SENA CRISTIANO
19;DI MARCO FABRIZIO
20;GAROZZO ENRICO
21;CITRO FABRIZIO
22;RAFFAELE TOMMASO
23;PAGANELLI MARCO
24;SCARSI MAURO
25;MASARIN RICCARDO
26;TASSINARI PIETRO
27;DI LILLO DANILO
28;BAROGLIO ANDREA
29;DEL CONTRASTO NICOLÒ
30;LOIACONO MATTIA
31;BONELLI TOMMASO
32;REMONDINI DARIO
33;BAMBINI ANDREA
34;VALLOSIO ANDREA
35;LOCATELLI MARCO FRANCESCO
36;MALAGUTI MARCO
37;SUAREZ SANTIUSTE YORDANO DE LA CARIDAD
38;CUOMO FABRIZIO
39;DE MOLA DANIEL
40;FOTI EDOARDO GIUSEPPE
41;CERTO DIEGO AMEDEO
42;RASILE LUCIO
43;MENCARELLI SIMONE
44;CHIAROLANZA VINCENZO
45;CAPUANO VITO
46;FERRAIOLI FRANCESCO
47;MANZO EDOARDO
48;BUZZI LORENZO
49;STROBBIA EDOARDO
50;QUEIROLI MICHELE
51;MANCINI EMANUELE
52;CURATOLO FRANCESCO MATTEO
53;MOROTTI LEONARDO
54;NICOLI PIETRO
55;BURATTI FAUSTO
56;PREZIOSI ALESSIO
57;SALA LUPO INDRO LUCA
58;DELFINO FRANCESCO
59;BOLLATI FEDERICO
60;VICHI EDOARDO
61;DE POL ENRICO
62;MARTINI COSIMO
62;BALZANO MARCO
64;ZANCHIN FRANCESCO
65;FRIDMAN DANIEL
66;SICA WILLIAM DAVID
67;AGUILERA LUIS HUMBERTO
68;MACCHIONI GIAN MARCO
69;VERDUCHI GIACOMO
70;REVOLFATO FILIPPO
71;MASSONE FILIPPO
72;MAGNI RICCARDO
73;DI NUCCI GIANFILIPPO
74;ROSSI MATTEO
75;BONAGA NICOLO'
76;CATALLO DANIELE
77;CECCANTI YURI
78;DE PAOLIS FRANCESCO
79;PAOLETTI ALBERTO
80;AMENDOLA VITTORIO
81;GULINO MATTIA
82;BARBARA FABIO GIOVANNI
83;SANTANGELO STEFANO
84;AMBROSINI EMILIANO
85;GRECO SIMONE
86;FABREGAT PUJOL ANGEL
87;CORRADO GIACOMO
88;VARONE FEDERICO
89;BUZZI GIOVANNI BATTISTA
90;VITELLI GENNARO MARIA
91;BEZZINI ROBERTO
92;LEPORATI ETTORE
93;DELL'ORO MICHELE
94;CAMBIERI PIETRO
95;TRADARDI EUGENIO
96;BUONINCONTRI ANDREA
97;D'IPPOLITO ANDREA
98;CANETTOLI PIERLUIGI
99;FERRARIS LUCA
100;NACCA DANIEL
101;CAUDO FRANCESCO
102;DELL'ACCIO EDOARDO
103;VERDIANI GIAN MARCO
104;GALLO CARLO
105;GIBELLI LUIGI
106;CIRCO LEONARDO
107;MATTIA LEONARDO
108;BOSSO SEBASTIANO
109;CAMPORESE MATTEO LUIGI
110;FONTANA DAVIDE
111;ROVIGLIONE EDOARDO
112;BENETTI DARIO
113;GERA RICCARDO
114;CHECCO FILIPPO
115;SHOJAEI MOHAMMAD
116;DI COSTE SAMUELE
117;PATRONE ALEX
118;TASCA FILIBERTO
119;SPEZZAFERRO ALBERTO MARIA
120;RIZZOLO ELIA
121;DIANA LUCA
122;GIONFRIDDO NICCOLO'
123;SIMEONE ALESSANDRO
124;PULITI LUCIO
125;CASARO GIANLUCA
126;MARANGON SCHWANTES ATHOS
127;GAMBARDELLA SIMONE
128;FERRARIS MARCO
129;DI SARNO VINCENZO
130;PASQUON DAVIDE
131;PERNINI GABRIELE
132;TARQUINI LORENZO
133;CHERUBINI LUDOVICO
134;SORDONI MATTIA
135;PENNELLA PIETRO
136;INTARTAGLIA NICCOLO'
137;FEDELI MATTIA
138;TAURO DAVIDE
139;BERNARDIN LEONARDO
140;LANDI GIOVANNI
141;BEN AMARA TAHAR
142;BRUZZONE ENEA
143;VANNUCCI FRANCESCO
144;PURCARO EMANUELE GIAMPIERO
145;FERRARI ALESSANDRO
146;DODARO FRANCESCO
147;ARAGONA GABRIELE
148;VICHI TOMMASO
149;VITALE TOMMASO
150;RISTIC OGNJEN
151;POLIDORO ANDREA
152;STOPPANI MICHELE
153;BASSI FILIPPO
154;FOSCHINI BRANDO
155;VENZA WILLIAM
156;BONDI FEDERICO
157;QUARTARONE FABIO
158;CAPPUCCI FEDERICO
159;MARI MASSIMO
160;STOPPONI LAPO
161;LIUZZI MATTIA
162;DEL PRETE DAVIDE
163;ARDESI FEDERICO
164;VITALE LEONARDO TOBIA
165;DI FATO STEFANO
166;CUSSOTTO NICOLO'
167;FALUOMI ALESSANDRO
168;CREMONESI MATTIA
169;ZEDDA GIULIO
170;VOLPINI GIOVANNI MARIA
171;IOGNA PRAT LUCA
172;DAMIANI STEFANO
173;HEIM MANUEL
174;MARINI JACOPO
175;FRANZ ENRICO
176;BALDAZZI PIETRO
177;PITTICCO LEONARDO
178;FRESTA MATTIA
179;SANTORO PAOLO
180;LODETTI ALESSANDRO
181;LOIOTILE ALESSANDRO
182;BATTOCCHIO PIETRO
183;BIANCHI STEFANO
184;CHIADÒ RICCARDO
185;DI COLA GINO
186;BIRRI MATTIA
187;EFROSININ ALEXEI
188;ANTONELLO JACOPO
189;BONAVENTURA FRANCESCO MARIA
190;ROCCO EMANUELE
191;GRASSELLI VALERIO
192;BARIONOVI RICCARDO
193;MALACCHINI DAVIDE
194;CICINELLI MATTEO
194;REYTOR VENET YUNIOR
196;CULLA ANDREA
197;SCORDI SILVIO
198;ZULIANI CLAUDIO
199;PERCOLLA JACOPO
200;MANCINI GABRIEL PIO
201;SORIGA GIUSEPPE
202;CARIGNANI GIOVANBATTISTA
203;MARZIANI GIOVANNI
204;DE STASIO GIUSEPPE
205;RAVANELLI EMANUELE
206;SALVITTI ALESSANDRO
207;LUPANO SAMUELE
208;SCARSI SIMONE
209;LOLLI FRANCESCO
210;REPETTO GIOVANNI
211;VINALES IZNAGA YOSNIEL
212;CINI ALESSANDRO
213;BUTLER JAMES
214;MILANOLI PAOLO
215;ABATE RICCARDO
216;AMODIO ANDREA
217;MARESCA MASSIMILIANO
218;SABATINI DAVIDE
219;RESEGOTTI MATTEO CLAUDIO
220;PERUGINI ALESSANDRO
221;LOFFREDO DARIO
222;DE MARTINO SPIRIDIONE
223;RAULE GIOSUE'
224;MENCIASSI MATTEO
225;PANICO RICCARDO
226;BRAVI FEDERICO
227;PALA GIUSEPPE
228;LANARI FEDERICO
229;BRILLO GABRIELE
230;MONZIO COMPAGNONI FRANCESCO MATYAS
231;PERRI RAFFAELE
232;LATTARULO MARCO
233;AUTIERO MATTEO
234;MORANO TOMMASO
235;ROSSI MARCO
236;MAIOCCHI GIOVANNI MARIA
237;VOLPI LORENZO
238;BOMBRINI ANDREA
239;BAGATTO MATTIA
240;SINATRA GIOVANNI
241;ANCONA DAVIDE
242;FERRAUTI FRANCESCO
243;ANDRETTA ALESSANDRO
244;PORTA ANDREA
245;RODRIQUEZ CARLO
246;GUERRA FEDERICO
247;CECCHET MICHELE
248;CARRIERE EDOARDO
249;RIGHETTI PIERFRANCESCO
250;PELLITTERI MARCO
251;FONTANA DANIELE
252;VARONE FRANCESCO
253;CORSINI FRANCESCO
254;SCIALANGA FILIPPO
255;CASALEGNO MATTEO
256;PIGHI ZENO
257;RUTOLI LUIGI
258;CASTIGLIONE SALVATORE
259;PETROCCA ALBERTO
260;PAOLETTI RICCARDO
261;AMENTA ALBERTO SEBASTIANO
262;CIRILLO GREGORIO
263;PARCHI EDOARDO
264;LOMBARDO WALTER
265;MEUTI ANDREA
266;ROVERE CARLO LUIGI
267;BENTIVOGLI LEONARDO
268;NATALE PIETRO
269;VILLA MARIO
270;DI GIORGIO DOMENICO
271;DIVITTINI CRISTIAN
272;DAIDONE GIULIO
273;CIANCI LUCA
274;GAI ANTONIO ROMAN
275;PETRACCI GABRIELE
276;SALATINO ANTONIO
277;LOMBARDO GIOVANNI MARIA
278;SEMPRONI GIORGIO
279;MUSA ROMANO EDOARDO
280;CASTRO FEDERICO
281;BUGARI MATTEO
282;GUERRA FILIPPO
283;GALLI MILO
284;UFFICIALI ANDREA
285;SEGURINI FRANCESCO
286;TIBERTI TOMMASO
287;NANI MAURIZIO
288;PASOTTI RICCARDO
289;GIACHETTI DAVIDE
290;VAIRA GIUSEPPE
291;CERASE DANIELE
292;FRANCO ANTHONY VICTOR
293;CERINO MARIO
294;MONACO VALENTINO
295;MASSIMINO EDOARDO
296;MICOZZI GIANLUCA
297;BARALDI DANIELE
